sid,IEA0,IEA1
16109G,0.3821356,-0.16861857
18052N,-0.2736937,-1.2332878
25162L,0.78159565,0.5357721
11974Y,0.30608177,-0.36384466
12223K,-0.6386219,1.1828827
17932M,0.14290228,-0.62736714
10624S,1.8948786,0.85196
17697C,2.0461783,-0.89400685
12173V,0.13040933,-1.2833344
16509W,-1.8515997,0.9379134
22306U,0.64464897,-0.4391907
12635H,-0.83372724,0.62402076
12181U,-0.47500825,-0.30344185
21799M,-0.4733534,-0.56678045
15974S,0.15252426,-1.3684626
23511A,0.47194377,0.8241874
12850L,-1.1256278,-0.5177694
15347R,0.96254617,-0.34791118
18250R,1.8804586,-0.6409427
16798D,0.96266776,0.80194795
10921Y,1.2852151,-0.19962111
11464B,1.4146512,0.1868738
22417D,0.4344992,-1.1041998
11894A,0.6393412,0.06433621
19336G,-1.9828447,0.4576127
19139E,-0.628599,-2.2548912
24201Q,1.4293382,-0.8412793
19306X,0.16605064,0.49241337
20475H,-0.5180824,0.21913853
24617V,-1.1683224,-1.9779603
12032D,-0.23958671,0.54407537
21219U,-0.13032416,1.1312153
11126H,0.77425396,-0.8104426
17872U,0.3465111,-0.23242474
19419K,1.1501666,-1.808631
19460H,-1.1235257,-0.044130214
17573K,2.1032045,1.0233301
21570G,-0.85021496,0.852246
13288R,0.21398401,1.3506043
14619T,0.37615532,-2.315693
19381L,-0.35305113,-1.1318127
15462R,-0.13475941,-0.99909955
14985S,-2.1898465,0.5842973
15184P,0.5110936,0.4899692
13724L,1.9073852,-0.14534065
14534L,1.1743481,1.0885103
16347W,-0.85934865,0.37736255
18936Z,-0.085491106,2.7156875
11946T,2.0223925,0.14389482
19681X,-0.94698274,-0.57305276
19777K,0.28433567,-1.2972189
16466E,1.8700974,0.020964956
18231N,-0.8625742,-0.8990215
13036Q,-0.27888024,-1.8940449
15140V,2.0100427,-0.04165993
12257B,-0.29148793,0.6342379
13118S,-0.031392816,-0.47300482
20248W,-1.8073823,0.6554946
18077D,-0.1844552,1.7802525
19249L,0.28680277,-0.34500092
16457D,-0.490981,-0.5978418
19369V,-0.6874735,-0.539058
23687L,-0.24897242,-0.775537
13324V,0.26736647,-1.0741926
10330B,-0.7683841,1.3459688
11533U,0.019572388,1.0315707
23480P,-0.22941828,0.6926106
12556L,0.8495371,-0.28361377
18038T,0.09732555,0.67102635
12596X,0.95665455,0.68525
20012T,-0.8090355,-1.157679
13626L,1.2150891,-1.2778851
24811R,-1.5076395,-0.0049100905
13169J,-0.67576385,0.43147096
12863U,-0.124390796,0.8261606
23045X,-0.7945721,0.51556027
24873N,-1.4569473,-0.8041314
24597P,-0.27337018,-0.5920137
21871U,-1.0686381,-0.9762066
19177M,1.1288178,-0.03036224
24143C,-1.6755755,0.96214294
26118N,-0.7592197,-0.0745364
19522D,-1.1756601,0.3246542
21388R,0.73511153,0.27173775
21393K,-0.87382126,-0.58822393
11520L,0.23791926,-0.1116509
10208E,2.2210135,0.07582365
17395M,-0.33362743,-1.8977795
17696A,1.4846257,-1.163614
13423X,-1.0516977,0.90513724
19967P,-0.65706044,-0.291185
18135R,1.5908858,0.06914677
23254G,-1.0796007,-1.2870758
16108E,-0.04014335,-0.8384973
15088T,-2.1432402,-0.6724652
21231K,0.4350624,0.3272043
11005V,1.1641287,0.94795734
14593B,0.044170223,0.59460765
15079S,-0.84107715,0.22350891
17650C,-1.084561,0.33821607
22112H,1.4017093,-0.4486885
12505U,1.8657618,-0.71900827
18274F,0.97524387,-0.104107715
12435Z,0.5476866,-1.333365
15123V,0.4888913,0.4368883
20193X,-0.600828,2.4222436
24930Z,0.57653034,-0.5346178
24013P,-0.6447593,-0.4458403
13686D,1.6652218,-0.95823896
14393T,1.4413362,-0.23847699
24779V,1.1616229,-0.870607
11143H,0.15028796,1.2431715
12443Y,0.7340015,-1.1098645
16557H,0.34360322,-1.5455002
17539K,-0.3443559,-0.7524374
14479D,0.09627976,0.93513393
19164D,1.5181768,-1.3995409
21272Y,1.1756277,-0.6727153
22562M,-0.8912821,0.83507955
11159W,0.13308452,2.8040197
24826E,0.43659553,1.005388
11129N,-0.4734935,-0.22260785
19062V,0.6486967,0.14294036
18048W,2.4494414,-0.10698897
14777L,-0.16272481,-0.5408586
10055F,-0.28317997,0.4837811
15249R,-1.9430017,1.3295705
19456Q,0.49640912,0.23233664
13358M,0.30490202,-0.3682286
22438L,0.0196399,0.4158269
24550P,-0.9411472,-0.80379725
15800L,-0.67097217,-0.22238794
13658Y,0.61482537,-0.1977454
17216M,-0.4120733,-0.5178174
18176F,-0.32172376,1.4620389
14223U,-0.5573944,1.0915164
24581A,-0.111307606,-0.19793032
10756J,0.31579486,0.20480211
13886L,0.9329346,0.023029363
19340X,-1.2708647,-1.0563667
17004X,-0.46327528,-1.0538323
20382A,0.047596235,-1.4163663
14542K,1.3188574,-0.74215657
10088U,-0.065823264,-0.11263068
24729G,1.1363869,0.9879556
11998M,1.0595177,0.4099652
11468J,0.26272386,-0.81269133
17534A,-0.11311285,0.2404141
21587X,0.22466516,-0.82540303
13695E,-0.43769026,-0.68340075
21440T,-0.014655148,1.1874338
18991H,-0.7060553,0.9184996
11014W,-1.3499548,0.99740154
21882Z,0.30211693,-0.46628585
17567P,-1.7941151,-1.0016992
14945G,0.32005557,3.0523639
25338W,1.1470964,0.94132936
18794F,0.5040327,0.35536194
18994N,0.5486777,-0.039193742
21245V,-2.0947964,0.3534587
16317N,1.8996038,0.30684394
15075K,2.388794,-0.0791277
25006X,-0.4344069,0.032116186
12953V,0.37280965,1.4987223
22323U,-0.97946537,-1.1120466
10635X,0.93999875,0.043324806
15669N,0.062380724,0.73507315
14702G,-1.2202114,1.1504476
17530S,1.6255661,-0.013979221
14653T,-0.5053135,-0.27232206
12905K,1.085939,0.36042926
16159V,-0.68400955,-0.074287705
21005B,-0.6766333,-0.49563894
10442M,-1.3301446,-0.8620676
17770M,-0.21124783,0.7223989
21542B,0.37365323,0.3185667
11064L,0.37708777,-1.0573795
25525V,-0.67998695,-0.385841
10446U,-1.4236076,0.49629068
11944P,-0.5374232,0.741831
20413L,0.27200338,-0.39261603
13060N,-0.82985127,-0.19196014
12137R,-0.588557,-0.64173436
20506S,-0.74306935,-1.688975
13621B,-1.4060241,1.0791509
19448R,-0.09808813,-0.6130927
15930Y,-0.9931728,0.2690145
14115R,0.5548657,0.6457132
13064V,-0.111028776,0.6818198
15454S,-1.0642173,-1.8948252
25117G,-0.563714,0.41191402
12848Y,-0.26957667,-1.1464975
21880V,-1.341312,-1.3786215
26020W,-2.036299,2.263469
17352U,1.3160851,1.5039114
17710U,0.96315175,0.4904701
16886A,-2.7183678,-1.483284
13076C,-0.9620949,1.4440867
16489Q,-1.2684999,0.7675668
13272C,-0.16288139,-0.6714036
13041J,0.1260751,-0.0012521654
10171H,-1.1181552,0.19053209
12679B,-0.112204,0.06916594
20496P,-0.11905895,-0.11357017
16764M,-1.227462,-1.6154118
19104L,0.25857514,1.3343098
15118C,0.72989255,0.16268049
19534K,-1.0968745,0.049341112
15408L,1.2952864,-1.3339212
21002V,0.3473341,0.72163534
11013U,-0.68368495,-0.051782895
12256Z,2.1872542,-1.1446391
22369S,1.3844669,1.8009174
17386L,0.026755285,-0.7063991
19366P,0.37698206,-0.11853367
12455F,1.9565532,-0.6091597
